collection,series,piece,item,Covering_date,Type,Former Reference,Title,Author,,
CAB,129,1,1,8-Aug-45,Memorandum,CP (45) 101,Manufacture of Mosquito VI Aircraft in France.,Richard Stafford Cripps,,
CAB,129,1,2,9-Aug-45,Memorandum,CP (45) 102,"Weekly Resume (No. 310) of the Naval, Military and Air Situation from 0700 2nd August to 0700 9th August, 1945.",Chiefs of Staff,,
CAB,129,1,3,10-Aug-45,Memorandum,CP (45) 103,House of Commons Procedure.,Herbert Morrison,,
CAB,129,1,4,10-Aug-45,Memorandum,CP (45) 104,Far Eastern Committees.,E E Bridges,,
CAB,129,1,5,10-Aug-45,Memorandum,CP (45) 105,The Cancellation of War Orders.,John Wilmot,,
CAB,129,1,6,12-Aug-45,Memorandum,CP (45) 106,Continuance of Censorship in the Period immediately following the Cease-Fire.,Edward J Williams,,
CAB,129,1,7,11-Aug-45,Memorandum,CP (45) 107,Greece.,Ernest Bevin,,
CAB,129,1,8,11-Aug-45,Memorandum,CP (45) 108,Russian Application for Assistance from U.N.R.R.A.,Philip J Noel-Baker,,
CAB,129,1,9,13-Aug-45,Memorandum,CP (45) 109,Publicity for Negotiations with British North Borneo (Chartered) Company.,George H Hall,,
CAB,129,1,10,13-Aug-45,Memorandum,CP (45) 110,Standing Ministerial Committees of the Cabinet.,Clement R Attlee,,
CAB,129,1,11,14-Aug-45,Memorandum,CP (45) 111,Supplies and Services (Transitional Powers) Bill.,James Chuter Ede,,
CAB,129,1,12,14-Aug-45,Memorandum,CP (45) 112,Our Overseas Financial Prospects.,Hugh Dalton,,
CAB,129,1,13,15-Aug-45,Memorandum,CP (45) 113,Man-Power.,Ernest Bevin,,
CAB,129,1,14,15-Aug-45,Memorandum,CP (45) 114,Man-Power in the Munitions Industries.,Richard Stafford Cripps,,
CAB,129,1,15,15-Aug-45,Memorandum,CP (45) 115,New Zealand.,Addison,,
CAB,129,1,16,16-Aug-45,Memorandum,CP (45) 116,Article VII of the Mutual Aid Agreement: Commercial Policy.,Richard Stafford Cripps,,
CAB,129,1,17,16-Aug-45,Memorandum,CP (45) 117,Raising the School Leaving Age.,Ellen Wilkinson,,
CAB,129,1,18,16-Aug-45,Memorandum,CP (45) 118,Ministerial Responsibilities for Housing.,Clement R Attlee,,
CAB,129,1,19,16-Aug-45,Memorandum,CP (45) 119,Raising of the School Leaving Age.,Joseph Westwood,,
CAB,129,1,20,16-Aug-45,Memorandum,CP (45) 120,"Weekly Resume (No. 311) of the Naval, Military and Air Situation from 0700 9th August to 0700 16th August, 1945.",Chiefs of Staff,,
CAB,129,1,21,18-Aug-45,Memorandum,CP (45) 121,The Indian Constitutional Question.,Pethick-Lawrence,,
CAB,129,1,22,18-Aug-45,Memorandum,CP (45) 122,Assistance for Liberated Europe.,Philip J Noel-Baker,,
CAB,129,1,23,20-Aug-45,Memorandum,CP (45) 123,Syria and the Lebanon.,Ernest Bevin,,
CAB,129,1,24,20-Aug-45,Memorandum,CP (45) 124,"Proposed Suspension of the Civil Defence Acts, 1937-39.",James Chuter Ede,,
CAB,129,1,25,23-Aug-45,Memorandum,CP (45) 125,"Weekly Resume (No. 312) of the Naval, Military and Air Situation from 0700 16th August to 0700 23rd August, 1945.",Chiefs of Staff,,
CAB,129,1,26,23-Aug-45,Memorandum,CP (45) 126,Monetary Awards.,Clement R Attlee,,
CAB,129,1,27,27-Aug-45,Memorandum,CP (45) 127,"Report for the Month of July 1945 for the Dominions, India, Burma and the Colonies and Mandated Territories.","Secretary of State for Dominion Affairs, Secretary of State for India and Burma, Secretary of State for the Colonies",,
CAB,129,1,28,27-Aug-45,Memorandum,CP (45) 128,Accommodation for Prisoners of War.,George Tomlinson,,
CAB,129,1,29,28-Aug-45,Memorandum,CP (45) 129,Electoral Register.,"James Chuter Ede, Joseph Westwood",,
CAB,129,1,30,28-Aug-45,Memorandum,CP (45) 130,Middle Eastern Policy.,Ernest Bevin,,
CAB,129,1,31,28-Aug-45,Memorandum,CP (45) 131,Preservation of Civilian Respirators.,James Chuter Ede,,
CAB,129,1,32,29-Aug-45,Memorandum,CP (45) 132,Ceylon Constitution.,Arthur Greenwood,,
CAB,129,1,33,29-Aug-45,Memorandum,CP (45) 133,Policy in regard to Malaya and Borneo.,George H Hall,,
CAB,129,1,34,29-Aug-45,Memorandum,CP (45) 134,Assistance to the French in rebuilding their Aircraft Industry.,"Ernest Bevin, Stansgate, Richard Stafford Cripps, John Wilmot",,
CAB,129,1,35,29-Aug-45,Memorandum,CP (45) 135,Shipping and Shipping Policy.,Alfred Barnes,,
CAB,129,1,36,30-Aug-45,Memorandum,CP (45) 136,"The ""Daily Worker"" and Accredited War Correspondents.",Jack J Lawson,,
CAB,129,1,37,30-Aug-45,Memorandum,CP (45) 137,Future Provision of Officers for Indian Armed Services.,Pethick-Lawrence,,
CAB,129,1,38,31-Aug-45,Memorandum,CP (45) 138,Ceylon Constitution.,George H Hall,,
CAB,129,1,39,31-Aug-45,Memorandum,CP (45) 139,Release of Conditionally Registered Conscientious Objectors from their Conditions.,George A Isaacs,,
CAB,129,1,40,1-Sep-45,Memorandum,CP (45) 140,Raising the School Leaving Age.,Herbert Morrison,,
CAB,129,1,41,3-Sep-45,Memorandum,CP (45) 141,Man-Power.,Ernest Bevin,,
CAB,129,1,42,1-Sep-45,Memorandum,CP (45) 142,The Government Plan for encouraging Industrial Organisation and Efficiency.,Richard Stafford Cripps,,
CAB,129,1,43,4-Sep-45,Memorandum,CP (45) 143,Celebration of Armistice Day.,James Chuter Ede,,
CAB,129,1,44,1-Sep-45,Memorandum,CP (45) 144,Future of the Italian Colonies.,Clement R Attlee,,
CAB,129,1,45,4-Sep-45,Memorandum,CP (45) 145,Memorial to President Roosevelt.,George Tomlinson,,
CAB,129,1,46,4-Sep-45,Memorandum,CP (45) 146,Treatment of Conscientious Objectors in the Civil Service.,Hugh Dalton,,
CAB,129,1,47,4-Sep-45,Memorandum,CP (45) 147,Indian Diplomatic Representation in Washington.,Pethick-Lawrence,,
CAB,129,1,48,5-Sep-45,Memorandum,CP (45) 148,Defence against Disease.,Ernest Bevin,,
CAB,129,1,49,10-Sep-45,Memorandum,CP (45) 149,Trade Disputes and Trade Unions Act Repeal Bill.,Jowitt,,
CAB,129,1,50,5-Sep-45,Memorandum,CP (45) 150,Afghanistan: Disturbances in the Eastern Province.,Pethick-Lawrence,,
CAB,129,2,1,6-Sep-45,Memorandum,CP (45) 151,Report of the Select Committee on Elections.,Herbert Morrison,,
CAB,129,2,2,7-Sep-45,Memorandum,CP (45) 152,Relations with Eire.,Addison,,
CAB,129,2,3,6-Sep-45,Memorandum,CP (45) 153,Ministerial Oil Committee. Membership and Terms of Reference.,E E Bridges,,
CAB,129,2,4,6-Sep-45,Memorandum,CP (45) 154,Tobacco Purchases in the United States.,Richard Stafford Cripps,,
CAB,129,2,5,9-Sep-45,Memorandum,CP (45) 155,"Report by the Prime Minister, Chairman of the India and Burma Committee.",Clement R Attlee,,
CAB,129,2,6,8-Sep-45,Memorandum,CP (45) 156,Palestine Committee.,Herbert Morrison,,
CAB,129,2,7,2-Oct-45,Memorandum,CP (45) 157,"Report for the Month of August 1945 for the Dominions, India, Burma and the Colonies and Mandated Territories.","Secretary of State for Dominion Affairs, Secretary of State for India and Burma, Secretary of State for the Colonies",,
CAB,129,2,8,12-Sep-45,Memorandum,CP (45) 158,Legislative Programme - 1945-46 Session.,Arthur Greenwood,,
CAB,129,2,9,4-Sep-45,Memorandum,CP (45) 159,"Summary of Naval Air Operations - 1st May to 1st August, 1945.",A V Alexander,,
CAB,129,2,10,10-Sep-45,Memorandum,CP (45) 160,Industrial Disarmament of Germany.,Ernest Bevin,,
CAB,129,2,11,8-Sep-45,Memorandum,CP (45) 161,Provisional Requirements for the Post-War Armed Forces.,"A V Alexander, Jack J Lawson, Stansgate",,
CAB,129,2,12,10-Sep-45,Memorandum,CP (45) 162,Disposal of the Italian Colonies and of the Italian Mediterranean Islands.,Ernest Bevin,,
CAB,129,2,13,10-Sep-45,Memorandum,CP (45) 163,Italian Prisoners of War.,Ernest Bevin,,
CAB,129,2,14,10-Sep-45,Memorandum,CP (45) 164,Ceylon Constitution.,George H Hall,,
CAB,129,2,15,10-Sep-45,Memorandum,CP (45) 165,Security Conditions in Palestine.,George H Hall,,
CAB,129,2,16,10-Sep-45,Memorandum,CP (45) 166,Relaxation of Restrictions on Departure of British Subjects and Aliens for Overseas Destinations.,James Chuter Ede,,
CAB,129,2,17,10-Sep-45,Memorandum,CP (45) 167,Bank of England Bill.,Hugh Dalton,,
CAB,129,2,18,13-Sep-45,Memorandum,CP (45) 168,The Future of British Publicity to Foreign Countries.,Ernest Bevin,,
CAB,129,2,19,14-Sep-45,Memorandum,CP (45) 169,Matrimonial Causes (Divorce Commissioners) Bill.,Jowitt,,
CAB,129,2,20,14-Sep-45,Memorandum,CP (45) 170,Naval Man-Power Requirements in June 1946 and Programme of Releases to that Date.,A V Alexander,,
CAB,129,2,21,14-Sep-45,Memorandum,CP (45) 171,Site of the United Nations Organisation.,Philip J Noel-Baker,,
CAB,129,2,22,15-Sep-45,Memorandum,CP (45) 172,The Employment of German and Italian Prisoners of War in Great Britain.,George A Isaacs,,
