collection,series,piece,item,Covering_date,Type,Former Reference,Agenda
CAB,195,1,1,13-Apr-42,Notebook,WM (42) 47,
CAB,195,1,2,14-Apr-42,Notebook,WM (42) 48,1. Release of Whole-time C.D. Personel for War Industry; 2. Anti-Gas Precautions; 3. Political meetings in Factories; 4. Supplies to Russia
CAB,195,1,3,20-Apr-42,Notebook,WM (42) 50,Naval and Military Situation; Vichy peoples in Dominions
CAB,195,1,4,27-Apr-42,Notebook,WM (42) 53,Naval and Military Air Operations; Admiralty Construction Programme
CAB,195,1,5,4-May-42,Notebook,WM (42) 56,"Naval, Military &amp; Air Operations"
CAB,195,1,6,11-May-42,Notebook,WM (42) 61,"1. Naval, Military &amp; Air Operations"
CAB,195,1,7,18-May-42,Notebook,WM (42) 64,"1. Naval, Military &amp; Air Operations; 2. Convoy to Russia; 3. Defence Arrangements in W. Africa"
CAB,195,1,8,29-May-42,Notebook,WM (42) 69,Coal - Reorganisation - Production Programme 1942/43 - Fuel Rationing; Wages?
CAB,195,1,9,1-Jun-42,Notebook,WM (42) 70,Foreign Affairs; Air Raid Casualities; Functions of Chairman of Reconstrution Problems Cttee.; Daily Worker; Milk - White Paper; Coal - White Paper
CAB,195,1,10,8-Jun-42,Notebook,WM (42) 72,Foreign Affairs; Yugoslav Army Crisis; Policy in Madagascar
CAB,195,1,11,15-Jun-42,Notebook,WM (42) 74,Reprisal for German Massacre of Village; India; The Levant-Caspian Front; Report on Public Feeling; Re-organistaion of Colonial Service; Empress Hall Demonstration
CAB,195,1,12,18-Jun-42,Notebook,WM (42) 77,1. Air Operations; 2. Report of Arrival of American Forces; 3. Carriage of American Troops in B. Vessels; 4. Parliament; 5. Pritt's offer to lecture to Troops
CAB,195,1,13,22-Jun-42,Notebook,WM (42) 79,"1. Naval, Military &amp; Air Operations; 2. Statements on Libya and Malta Convoys; 3. Miners' Wages - Effect of increases on Stabilisation Policy"
CAB,195,1,14,24-Jun-42,Notebook,WM (42) 80,1. Debate in H/Commons
CAB,195,1,15,25-Jun-42,Notebook,WM (42) 81,
CAB,195,1,16,29-Jun-42,Notebook,WM (42) 83,
CAB,195,1,17,6-Jul-42,Notebook,WM (42) 86,Foreign Affairs; Czecho-slovakia; Treatment of War Criminals; Policy in Relation to Gandhi; Debate on Shipping Situation; Select Cttee on Expenditure - Enquiry into Tanks
CAB,195,1,18,8-Jul-42,Notebook,WM (42) 88,Shipping Debate
CAB,195,1,19,9-Jul-42,Notebook,WM (42) 89,1. Post-war relief
CAB,195,1,20,20-Jul-42,Notebook,WM (42) 92,1. Foreign Affairs; 3. Air Raids; 4. Conscription of B. Subjects in Egypt; 5. Polish &amp; Greek Refugees fr. M/East; 6. Carrying of Respirators by Members of Public; 7. Report on Home Opinion; 8. Parliamentary Recess
CAB,195,1,21,27-Jul-42,Notebook,WM (42) 96,1. Air Raids; 3. Eire Officers at Battle Schools in N. Ireland; 4. Power of Punishment to Indian Commissioned Officers; 5. Reduction of Hours of Broadcasting
CAB,195,1,22,28-Jul-42,Notebook,WM (42) 98,The Shipping Situation; Rationing Bread; Dilution;
CAB,195,1,23,3-Aug-42,Notebook,WM (42) 102,1. PM's Visit - Leakage; 2. Service Pay and Allowances; 3. Russian Convoy - Statement in Parliament; 4. Statements about Second Front; 5. Foreign Affairs
CAB,195,1,24,4-Aug-42,Notebook,WM (42) 103,1. Foreign Affairs; 2. Publicity for U.K. Troops; 3. Use of Psychologists and Psychiatrists in Services; 4. Supplies to Russia - Statement in Parliament
CAB,195,1,25,6-Aug-42,Notebook,WM (42) 105,1. India - Possible Action against Congress ( - part heard)
