collection,series,piece,item,Covering_date,Type,Former Reference,Attendees,Agenda
CAB,23,1,1,9-Dec-16,Conclusion,WC 1 ,D Lloyd George . A Bonar Law . Milner . Curzon . A Henderson . E Carson . Hardinge . J Jellicoe . W Robertson.,1. Offices of the War Cabinet; 2. Secretariat; 3. Greece; 4. Propaganda; 5. The American Exchanges; 6. The Balkans; 7. The Shipping Director; 8. Press Communiques of War Cabinet Meetings; 9. The Arab Revolt Rabegh
CAB,23,1,2,11-Dec-16,Conclusion,WC 2 ,A Bonar Law . Curzon . Milner . A Henderson . A Balfour . Hardinge . R Cecil . W Robertson . E Carson . J Jellicoe . H Oliver . A Chamberlain.,1. The Balkans; 2. The Transport of French Reinforcements; 3. The forthcoming Conference in Russia; 4. Greece;  5. The Arab Revolt - Rabegh; 6. Future Business; 7. The Offices of the War Cabinet
CAB,23,1,3,12-Dec-16,Conclusion,WC 3 ,A Bonar Law . Curzon . Milner . A Henderson . Hardinge . R Cecil . W Robertson . J Jellicoe . H Oliver.,1. The Reduction of Railway Facilities; 2. Man-Power; 3. Rifles for Roumania; 4. Norway; 5. The Circulation of Papers and other documents of the classes hitherto circulated to Members of the Cabinet; 6. Future Business
CAB,23,1,4,13-Dec-16,Conclusion,WC 4 ,D Lloyd George . Curzon . A Henderson . Milner . Hardinge . J Jellicoe . R Cecil . W Robertson.,1. The German Peace Proposal; 2. Greece Immediate action; 3. Future Policy; 4. Greek Merchant Ships; 5. Slavs from the United States
CAB,23,1,5,13-Dec-16,Conclusion,WC 5 ,A Bonar Law . Curzon . Milner . A Henderson . Devonport . R Prothero . C Bathurst.,1. Food Production at Home
CAB,23,1,6,13-Dec-16,Conclusion,WC 6 ,A Bonar Law . Curzon . Milner . A Henderson . R Cecil . E Carson . J Jellicoe.,1. Reprisals for Outrages
CAB,23,1,7,14-Dec-16,Conclusion,WC 7 ,Curzon . Milner . A Henderson . W Long . A Chamberlain . Derby . C Macready . A Geddes.,1. Man-Power and Compulsory National Service; 2. Women; 3. Ireland; 4. The Man-Power Distribution Board; 5. Fifth Report of the Man-Power Distribution Board; 6. The Circulation of Papers
CAB,23,1,8,15-Dec-16,Conclusion,WC 8 ,A Bonar Law . Curzon . Milner . A Henderson . Hardinge . W Robertson . J Jellicoe.,"1. The Shortage of Merchant Shipping - State purchase; 2. The Construction of Merchant Ships by the Government; 3. Aircraft - Provision of high-powered engines for the British Expeditionary Force - The First Report of the Air Board; 4. El Arish; 5. The Arab Revolt, Rabegh and Yenbo; 6. The Balkans; 7. The Transport of Railway Material to France; 8. Greece; 9. The German Peace Proposals; 10. The Labour Situation - The Strike of boiler-makers at Liverpool"
CAB,23,1,9,16-Dec-16,Conclusion,WC 9 ,A Bonar Law . Curzon . Milner . A Henderson.,1. Labour in Shipyards; 2. The German Peace Proposals; 3. Irish Railways - Decision of the Government to take over
CAB,23,1,10,18-Dec-16,Conclusion,WC 10 ,D Lloyd George . Curzon . Milner . A Henderson . A Bonar Law . J Jellicoe . R Cecil . G Clerk . W Robertson.,1. The German Peace proposals; 2. The Question of the Allied Conference; 3. The Nature of the Reply; 4. The nature of the statement in Parliament; 5. Russia and Constantinople; 6. Arbitration Tribunals on Questions Between the Government and its Employees; 7. Roumania; 8. Greece; 9. Rifles for Roumania; 10. Italy; 11. Secretariat of War Cabinet
