collection,series,piece,item,Covering_date,Type,Former Reference,Title,Author,
CAB,66,1,1,3-Sep-39,Memorandum,WP (39) 1,The Attitude of Italy and the Problem of Anglo-French Support to Poland.,E E Bridges,
CAB,66,1,2,3-Sep-39,Memorandum,WP (39) 2,"Anglo-Polish Staff Conversations. Memorandum by the Minister for Co-ordination of Defence covering the report of the Anglo-Polish Staff Conversations, together with a commentary thereon by the Deputy Chiefs of Staff Committee.",E E Bridges,
CAB,66,1,3,4-Sep-39,Memorandum,WP (39) 3,Position of Roumania.,Chiefs of Staff Committee,
CAB,66,1,4,4-Sep-39,Memorandum,WP (39) 4,Canadian Co-operation.,Chiefs of Staff Committee,
CAB,66,1,5,4-Sep-39,Memorandum,WP (39) 5,Norwegian Neutrality.,Chiefs of Staff Committee,
CAB,66,1,6,4-Sep-39,Memorandum,WP (39) 6,"Inter-Allied Control - Supreme War Council. Note by the Secretary covering Memorandum by the Minister for Co-ordination of Defence, together with Extract from Minutes of meeting of the C.I.D. (364th Meeting).",E E Bridges and Chatfield,
CAB,66,1,7,3-Sep-39,Memorandum,WP (39) 7,The Organisation of the Higher Command in France in War. Note by the Secretary covering memorandum by the Chiefs of Staff Committee.,E E Bridges and Chiefs of Staff Committee,
CAB,66,1,8,6-Sep-39,Memorandum,WP (39) 8,Air Defence of Scapa.,Chiefs of Staff Committee,
CAB,66,1,9,3-Sep-39,Memorandum,WP (39) 9,Staff Conversations. Summary of the general course of the Staff Conversations which have taken place with the French.,E E Bridges,
CAB,66,1,10,7-Sep-39,Memorandum,WP (39) 10,Evacuation of Government Departments.,John Anderson,
CAB,66,1,11,6-Sep-39,Memorandum,WP (39) 11,"Publicity regarding Destruction of or Damage to Enemy Submarines, British Warships and Merchant Vessels.",Winston S Churchill,
CAB,66,1,12,4-Sep-39,Memorandum,WP (39) 12,Note on the use of the Straights.,Halifax,
CAB,66,1,13,8-Sep-39,Memorandum,WP (39) 13,"Weekly Resume (No. 1) of the Naval, Military and Air Situation up to 12 Noon, 7th September, 1939.",Chiefs of Staff Committee,
CAB,66,1,14,8-Sep-39,Memorandum,WP (39) 14,Report by the Land Forces Committee.,Samuel Hoare,
CAB,66,1,15,8-Sep-39,Memorandum,WP (39) 15,Financial Policy. The Exchange Position: Inflation.,John Simon,
CAB,66,1,16,8-Sep-39,Memorandum,WP (39) 16,Despatch of Aircraft to Poland.,Halifax,
CAB,66,1,17,8-Sep-39,Memorandum,WP (39) 17,Despatch of Aircraft to Poland. Note by the Secretary covering Telegrams from M. Daladier to the Prime Minister and from the Prime Minister to M. Daladier.,E E Bridges,
CAB,66,1,18,10-Sep-39,Memorandum,WP (39) 18,Balkan Neutrality.,Chiefs of Staff Committee,
