collection,series,piece,item,Covering_date,Type,Former Reference,Title,Author
CAB,68,1,1,11-Sep-39,Memorandum,WP (R) (39) 1,"Oil. 1st Weekly Report by the Secretary for Mines. Covering period ending 8th September, 1939, (12.0 Noon).",Geoffrey Lloyd
CAB,68,1,2,11-Sep-39,Memorandum,WP (R) (39) 2,"Coal. 1st Fortnightly Report by the Secretary for Mines covering the Period ending 8th September, 1939, (12.0. Noon).",Geoffrey Lloyd
CAB,68,1,3,12-Sep-39,Memorandum,WP (R) (39) 3,"National Service and Labour. First Report submitted by the Minister of Labour and National Service covering the Period from 3rd to 8th September, 1939.",Ernest Brown
CAB,68,1,4,12-Sep-39,Memorandum,WP (R) (39) 4,"Home Security Report No. 1. First Weekly Report submitted by the Minister of Home Security covering the period from noon 1st September to noon 8th September, 1939.",John Anderson
CAB,68,1,5,12-Sep-39,Memorandum,WP (R) (39) 5,India at the Outbreak of War. First Fortnightly Report submitted by the Secretary of State for India covering the period up to 11th September.,Zetland
CAB,68,1,6,12-Sep-39,Memorandum,WP (R) (39) 6,"Burma at the Outbreak of War. First Fortnightly Report submitted by the Secretary of State for Burma, covering the Period up to 11th September.",Zetland
CAB,68,1,7,Sep-39,Memorandum,WP (R) (39) 7,The Colonial Empire at the Outbreak of War. First Monthly Report submitted by the Secretary of State for the Colonies covering the Period ended September 8th 1939.,Malcolm MacDonald
CAB,68,1,8,12-Sep-39,Memorandum,WP (R) (39) 8,"Shipping. First Weekly Report submitted by the President of the Board of Trade, covering the Period ended, Midnight, Sunday/Monday, 10/11th September 1939.",O F G Stanley
CAB,68,1,9,12-Sep-39,Memorandum,WP (R) (39) 9,"Economic Warfare. 1st Monthly Report submitted by the Minister of Economic Warfare covering the period up to the 11th Sept., 1939.",Ronald H Cross
CAB,68,1,10,19-Sep-39,Memorandum,WP (R) (39) 10,"Home Security Report No. 2. Second Weekly Report submitted by the Minister of Home Security covering the period from noon 8th September to noon 15th September, 1939.",John Anderson
CAB,68,1,11,14-Sep-39,Memorandum,WP (R) (39) 11,Economic Warfare. First Weekly Report submitted by the Minister of Economic Warfare covering the period Sept. 3rd to Sept. 13th.,Ronald H Cross
CAB,68,1,12,2-Oct-39,Memorandum,WP (R) (39) 12,"Food Situation of the United Kingdom. First Report submitted by Minister of Food, covering period 3.9.39 to 2.10.39.",William Shepherd Morrison
CAB,68,1,13,19-Sep-39,Memorandum,WP (R) (39) 13,"Shipping. Weekly Report submitted by the President of the Board of Trade, covering the Period ended Midnight, Sunday/Monday 17/18th September, 1939.",O F G Stanley
CAB,68,1,14,19-Sep-39,Memorandum,WP (R) (39) 14,"Oil Position. Second Weekly Report submitted by the Secretary for Mines covering the period up to midnight on the 17th September, 1939.",Geoffrey Lloyd
CAB,68,1,15,21-Sep-39,Memorandum,WP (R) (39) 15,"Propaganda: An Appreciation of Action Taken and its Effect. First Weekly Report submitted by the Minister of Information, covering Period up to 17.9.39.",Macmillan
CAB,68,1,16,23-Sep-39,Memorandum,WP (R) (39) 16,Supply and Production. First Report by the Air Ministry.,Kingsley Wood
CAB,68,1,17,22-Sep-39,Memorandum,WP (R) (39) 17,Survey of German propaganda during the first fortnight of the War.,Macmillan
CAB,68,1,18,26-Sep-39,Memorandum,WP (R) (39) 18,Economic Warfare. Second Weekly Report submitted by the Minister of Econimic Warfare covering the period Sept. 14 - Sept. 24.,Ronald H Cross
CAB,68,1,19,26-Sep-39,Memorandum,WP (R) (39) 19,"Shipping. Weekly Report submitted by the President of the Board of Trade, covering the period ended midnight, Sunday/Monday, 24/25th September, 1939.",O F G Stanley
CAB,68,1,20,25-Sep-39,Memorandum,WP (R) (39) 20,War Office Progress Report.,L Hore-Belisha
